Entity,Code,Year,Executions,Meningitis,Alzheimer's disease and other dementias,Parkinson's disease,Nutritional deficiencies,Malaria ,Drowning ,Interpersonal violence,Maternal disorders,HIV/AIDS,Drug use disorders,Tuberculosis,Cardiovascular diseases,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Self-harm,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Neoplasms,Conflict and terrorism,Diabetes mellitus,Chronic kidney disease,Poisonings,Protein-energy malnutrition,Terrorism,Road injuries,Chronic respiratory diseases,Cirrhosis and diseases,Digestive diseases,"Fire, heat, and hot substances",Acute hepatitis,Population
Uruguay,URY,2001,,32,1009,254,100,0,120,166,19,151,9,80,10806,1279,366,89,601,0,104,5,8792,0,698,618,17,79,,535,1849,516,1400,68,2,
Uruguay,URY,2002,,29,1034,262,103,0,116,182,20,155,8,77,10883,1300,364,83,633,2,108,7,8939,0,715,656,16,80,,525,1874,504,1408,68,2,
Uruguay,URY,2003,,28,1060,272,108,0,109,153,13,166,9,77,11055,1363,380,81,623,0,114,8,9066,0,737,698,16,85,,528,1946,496,1415,69,1,
Uruguay,URY,2004,,26,1079,277,113,0,101,149,13,161,9,75,10997,1397,338,82,616,0,116,8,9085,0,748,724,16,88,,535,1956,486,1417,70,1,
Uruguay,URY,2005,,23,1093,279,110,0,96,155,12,180,9,69,10693,1387,300,81,608,1,115,10,9064,0,748,732,16,84,0,546,1926,480,1413,68,1,
Uruguay,URY,2006,,23,1110,280,108,0,96,167,10,148,10,62,10338,1377,268,84,613,0,115,11,9034,0,751,733,15,84,,557,1898,469,1404,64,1,
Uruguay,URY,2007,,24,1144,294,116,0,100,166,14,174,10,65,10554,1454,265,88,638,2,125,13,9315,0,796,770,16,89,,585,1983,486,1461,67,1,
Uruguay,URY,2008,,18,1165,289,113,0,96,172,11,186,11,60,9993,1394,244,90,622,0,128,11,9169,0,774,749,16,88,,589,1908,466,1423,65,1,
Uruguay,URY,2009,,17,1199,290,113,0,93,186,14,189,11,59,9665,1397,223,92,623,1,130,10,9152,0,772,752,16,89,,599,1906,457,1417,66,1,
Uruguay,URY,2010,,16,1241,298,118,0,93,188,8,196,12,56,9642,1447,229,97,634,0,145,11,9335,0,786,780,16,93,,609,1945,453,1438,81,1,
Uruguay,URY,2011,,16,1297,315,127,0,94,200,11,197,12,59,10008,1537,225,98,661,0,158,9,9532,0,818,844,17,99,,633,2030,467,1497,69,1,
Uruguay,URY,2012,,16,1321,321,130,0,90,230,10,197,12,59,9886,1568,210,100,670,0,168,8,9562,0,825,877,18,102,,644,2055,470,1511,69,1,
Uruguay,URY,2013,,14,1341,322,132,0,86,231,12,179,13,61,9660,1544,198,106,674,1,173,8,9539,0,828,901,17,102,,640,2048,459,1497,70,1,
Uruguay,URY,2014,,14,1363,325,134,0,81,236,12,185,13,62,9505,1520,177,110,676,0,175,7,9532,0,833,920,17,103,,624,2035,452,1486,68,1,
Uruguay,URY,2015,,14,1395,333,137,0,76,253,12,183,14,63,9613,1539,169,111,689,2,176,7,9645,0,851,938,17,105,,611,2094,454,1491,69,1,
Uruguay,URY,2016,,14,1424,337,137,0,73,249,12,186,14,61,9629,1569,165,111,695,11,170,6,9687,2,863,963,16,106,1,590,2118,452,1496,71,1,
Uruguay,URY,2017,,14,1450,341,136,0,74,226,11,184,15,59,9792,1576,161,111,688,0,169,6,9836,0,875,967,16,105,,586,2128,461,1518,69,1,
Uruguay,URY,2018,,14,1473,345,134,0,73,218,11,181,15,57,9881,1583,154,111,680,0,167,6,9948,0,883,977,16,105,,570,2138,465,1530,68,1,
Uruguay,URY,2019,,14,1497,349,134,0,71,212,10,177,15,56,10003,1595,148,111,666,0,165,6,10084,0,895,989,16,104,,560,2155,471,1546,67,1,"3461731	"
Venezuela,VEN,1990,,666,1629,282,815,151,931,2840,398,655,22,1050,25991,4104,7142,232,1054,0,3573,7,12533,64,3086,1548,91,759,0,5105,2046,2124,4058,146,118,
Venezuela,VEN,1991,,565,1719,296,727,109,875,3249,392,598,24,1021,26930,3713,5831,241,1147,0,2984,7,13007,77,3292,1703,85,674,47,5208,2108,2186,4081,141,104,
Venezuela,VEN,1992,,560,1823,312,779,72,890,3572,365,786,26,952,27673,3775,5878,263,1252,0,3091,7,13588,230,3503,1863,87,724,7,5365,2192,2251,4153,144,98,
Venezuela,VEN,1993,,575,1942,341,878,51,911,4137,372,907,27,924,28655,3889,6058,269,1384,100,3163,7,14054,79,3627,2045,91,819,,5563,2328,2288,4223,150,91,
Venezuela,VEN,1994,,595,2063,382,1017,52,945,4762,418,1089,29,942,30586,4093,6479,264,1547,44,3426,8,14884,234,3867,2314,98,950,4,5739,2552,2361,4389,157,79,
Venezuela,VEN,1995,,579,2159,401,1104,53,903,4708,370,942,31,906,30719,3993,6493,244,1667,0,3281,8,15118,36,3909,2642,99,1031,8,5614,2731,2365,4408,154,58,
Venezuela,VEN,1996,,542,2249,401,1167,53,821,4589,354,1025,32,868,30061,3713,6234,226,1717,9,3154,8,15123,46,3851,2926,99,1088,13,5167,2817,2302,4305,145,42,
Venezuela,VEN,1997,,489,2376,410,1114,53,738,4319,348,1233,32,820,29523,3511,5828,216,1720,96,2873,8,15174,6,3841,3158,89,1041,3,4937,2899,2243,4195,142,35,
Venezuela,VEN,1998,,465,2536,439,1127,66,744,4808,310,1278,33,830,30766,3549,5699,219,1882,36,2693,8,15872,10,4030,3511,91,1055,0,5191,3162,2378,4422,151,33,
Venezuela,VEN,1999,,438,2685,460,1064,51,719,5991,343,1397,33,823,31481,3408,5237,209,1976,30342,2408,8,16382,26,4232,3826,88,996,0,5243,3324,2421,4524,146,29,
Venezuela,VEN,2000,,399,2820,479,1004,58,700,7857,339,1408,36,780,31963,3277,4985,206,2047,26,2181,8,16887,25,4363,4059,88,947,,5408,3388,2502,4637,149,27,
Venezuela,VEN,2001,,374,2956,510,997,30,701,8659,353,1287,41,736,33055,3377,5068,207,2128,14,2109,8,17822,27,4577,4338,92,945,0,5627,3584,2639,4857,152,26,
Venezuela,VEN,2002,,346,3124,553,963,23,651,9063,342,1299,41,714,34905,3443,5025,204,2016,23,2104,8,19028,20,4888,4685,92,918,0,5568,3775,2756,5092,150,25,
Venezuela,VEN,2003,,365,3286,580,1037,38,694,10090,358,1372,44,773,36846,3849,5860,192,2071,36,2342,9,19915,25,5148,5091,94,993,0,5845,4011,2915,5362,166,25,
Venezuela,VEN,2004,,326,3415,571,828,29,638,9499,354,1542,44,755,35887,3596,5083,186,1940,50,1990,9,19650,31,5002,5058,87,795,,5657,3912,2805,5174,159,24,
Venezuela,VEN,2005,,294,3573,596,694,36,595,9283,369,1585,43,720,36891,3562,4755,182,1835,44,1796,9,20463,30,5150,5279,81,665,,5571,4035,2910,5328,170,23,
Venezuela,VEN,2006,,288,3727,638,627,48,573,9923,365,1663,49,699,39086,3690,4546,178,1852,35,1600,9,21913,22,5512,5688,79,602,,5799,4233,3177,5723,155,21,
Venezuela,VEN,2007,,294,3877,675,588,58,574,10728,348,1738,60,683,40688,3904,4669,174,1919,12,1488,10,23102,3,5924,6065,80,566,1,6104,4407,3421,6060,160,20,
Venezuela,VEN,2008,,293,4053,714,559,38,584,11381,396,1739,70,686,42689,4115,4828,173,2003,17,1394,10,24417,1,6412,6521,85,537,1,6354,4588,3617,6369,168,19,
Venezuela,VEN,2009,,290,4206,731,523,55,567,12068,428,1861,73,677,43284,4287,5018,163,2027,9,1325,10,24932,10,6686,6730,85,503,10,6297,4639,3621,6403,171,18,
Venezuela,VEN,2010,,289,4370,716,493,72,564,12213,422,1941,70,668,41767,4327,5092,149,2051,67,1253,10,24352,0,6648,6650,80,475,,6167,4539,3353,6083,170,18,
Venezuela,VEN,2011,,292,4554,745,472,67,558,12501,438,2234,72,663,42996,4509,5025,142,2110,29,1211,10,25140,1,7008,6924,78,455,,6195,4725,3412,6224,177,18,
Venezuela,VEN,2012,,302,4714,782,461,75,563,13549,433,2251,81,676,44682,4747,5012,145,2248,22,1199,10,26388,0,7523,7361,81,444,0,6504,4957,3611,6526,186,18,
Venezuela,VEN,2013,,306,4856,797,458,134,562,13636,489,2165,84,677,44817,4897,4941,138,2310,12,1188,10,26771,0,7768,7560,82,440,0,6607,5048,3622,6590,188,19,
Venezuela,VEN,2014,,308,5074,841,480,136,568,13247,696,2182,95,708,46562,4967,4770,148,2380,0,1239,10,27936,1,8191,7925,87,460,1,6752,5285,3635,6762,192,20,
Venezuela,VEN,2015,,301,5276,879,490,223,569,13295,747,2155,102,730,48257,5018,4433,156,2436,0,1258,10,28869,1,8552,8291,88,469,1,6687,5506,3753,6989,194,20,
Venezuela,VEN,2016,,288,5535,928,502,291,551,12500,597,2070,96,731,50966,5094,4084,165,2356,0,1283,10,30209,14,9049,8769,84,481,9,6361,5813,3939,7307,191,20,
Venezuela,VEN,2017,,272,5789,973,511,423,532,11462,548,1956,93,749,53591,5154,3659,170,2282,0,1300,10,31186,28,9459,9157,82,489,5,6099,6105,4114,7595,189,20,
Venezuela,VEN,2018,,260,6036,1022,523,514,528,11198,550,1882,92,781,56164,5251,3414,175,2293,2,1334,11,32241,0,9897,9575,82,499,,6096,6427,4307,7925,190,20,
Venezuela,VEN,2019,,254,6313,1119,552,667,524,10944,497,1850,90,826,61510,5555,3338,188,2310,0,1418,11,34771,0,10795,10405,82,527,,6207,7062,4692,8601,196,21,28515829
